"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"October 22","Looking at some of the old legends come back to life. Mutare boys high can hold its own against big schools#rugby #fantasyrugby #scrummy #jointhescrum #SCRUMMY #fyppppppppppppppppppppppp #fyp @Zimbabwegreatschools ","https://www.tiktok.com/@scrummy_hub/video/7522591711147592982","July 2","11","0","3","479"
"October 22","INSIDE THE SCRUM 3 - Breaking down the week one matchup: Lomagundi v Falcon #Rugby #SchoolBoyRugby #SchoolGirlRugby #FantasyRugby #SCRUMMY #JoinTheScrum#fyppppppppppppppppppppppp #fyp #tiktokrugby @Zimbabwegreatschools @Zim Rugby🏉 @Lomagundi College Group of Sch ","https://www.tiktok.com/@scrummy_hub/video/7507257105800318230","May 22","91","4","3","1588"
"October 22","Peterhouse did their job. But all eyes are on CBC — what’s happening with this streak?#podcasts #rugby #fyppppppppppppppppppppppp #foru #zimtiktokers🇿🇼🇿🇼🇿🇼 @zimbabwegreatschool","https://www.tiktok.com/@scrummy_hub/video/7507300033071484182","May 22","20","0","9","1230"
"October 22","One of rugby's greatest traditions - schoolboy war cries. Passion that turns the game into something bigger than sport. #rugby #schoolboyrugby Credit: schoolrugbyhits, schoolboyrugga, and skoolwarcry","https://www.tiktok.com/@scrummy_hub/video/7557004912672951574","October 3","9","0","2","192"
"October 22","Mid week inspiration from Springboks and Sharks star Jordan Hendrikse🙏🔥#rugby #fantasyrugby #scrummy #jointhescrum #SCRUMMY #fyppppppppppppppppppppppp #fyp #SchoolBoyRugby ","https://www.tiktok.com/@scrummy_hub/video/7520611971599731990","June 27","5","2","2","216"
"October 22","Captain tells us his thoughts on the big win against St John’s🔥#SCRUMMY #Rugby #JoinTheScrum #fyppppppppppppppppppppppp #fyp #sport @Zimbabwegreatschools ","https://www.tiktok.com/@scrummy_hub/video/7508797838319504662","May 26","17","2","2","377"
"October 22","It’s DERBY DAY! Zambezi Steelers vs The Sharks Academy — the rivalry hits hard this May 1st at 16:00! Who you backing? #ScrummyRugby #DerbyDay #RugbyRivals #SchoolboyRugby","https://www.tiktok.com/@scrummy_hub/video/7499495456586829058","May 1","6","2","0","275"
"October 22","Looking back at the St George’s and CBC game..The fire met the swarm.  Dragons vs Hornets — the game is done, but the numbers tell who truly ruled the skies.#rugby #fantasyrugby #scrummy #jointhescrum #fyppppppppppppppppppppppp #fyp #SchoolBoyRugby @Zimbabwegreatschools ","https://www.tiktok.com/@scrummy_hub/video/7522937397068205334","July 3","7","1","3","184"
"October 22","Bradley & Tinaishe give their thoughts on the Zim Rugby Team Selections#SCRUMMY #Rugby #JoinTheScrum #fyppppppppppppppppppppppp #fyp #sport ","https://www.tiktok.com/@scrummy_hub/video/7511776046774193410","June 3","8","0","2","247"
"October 22","England vs USA is about to begin👀 who are you voting for? Download the app and let us know your vote#rwc2025 #womensrugby ","https://www.tiktok.com/@scrummy_hub/video/7541473711560396054","August 22","2","0","0","263"
"October 22","Warning: Ego bruises incoming. Who in your squad actually knows their rugby? 👀 #feelingswillgethurt #sorrynotsorry ","https://www.tiktok.com/@scrummy_hub/video/7539717873627909398","August 17","2","0","0","121"
"October 22","Keep your eyes peeled if you're ready to humble your entire rugby friend group. Tag your Rugby mates to find out together.#feelingswillgethurt #sorrynotsorry ","https://www.tiktok.com/@scrummy_hub/video/7539705306981403926","August 17","2","0","0","74"
"October 22","Join the SCRUMMY prediction board and show off your prediction skills#rugby #fantasyrugby #scrummy #jointhescrum #fyppppppppppppppppppppppp #fyp ","https://www.tiktok.com/@scrummy_hub/video/7525601259856973078","July 10","1","0","1","123"
"October 22","We are here with CBC's biggest fan as they make a comeback in the season #rugby #fantasyrugby #scrummy #jointhescrum #SCRUMMY #JoinTheScrum #Rugby #fyppppppppppppppppppppppp #fyp ","https://www.tiktok.com/@scrummy_hub/video/7516898112342920470","June 17","8","2","3","138"
"October 22","St George’s had to come back with anger in week 2. Will week three be the same?#SCRUMMY #Rugby #JoinTheScrum #fyppppppppppppppppppppppp #fyp ","https://www.tiktok.com/@scrummy_hub/video/7511458151871401238","June 2","8","1","0","188"
