team_name,logo_path
ZIMBABWE U20,/assets/ZimbabweU20.png
SHARKS ACADEMY,/assets/SharksAcademy.png
ZIMBABWE SABLES,/assets/ZimSables.png
ZAMBIA,/assets/Zambia.png
EAGLESVALE 2XV,/assets/Eaglesvale.png
WATERSHED 2XV,/assets/Watershed.png
GOLDRIDGE 1XV,/assets/Goldridge.png
GATEWAY 1XV,/assets/Gateway.png
WATERSHED 1XV,/assets/Watershed.png
WATERSHED,/assets/Watershed.png
MIDLANDS CC 1XV,/assets/MidlandsCC.png
MILTON 1XV,/assets/Milton.png
WISE OWL 1XV,/assets/WiseOwl.png
HILLCREST 1XV,/assets/Hillcrest.png
EAGLESVALE 1XV,/assets/Eaglesvale.png
RYDINGS 1XV,/assets/Rydings.png
RYDINGS,/assets/Rydings.png
HERITAGE 1XV,/assets/Heritage.png
CHURCHILL 2XV,/assets/Churchill.png
LOMAGUNDI 2XV,/assets/Lomagundi.png
FALCON 2XV,/assets/Falcon.png
ST ALBANS 2XV,/assets/StAlbans.png
PETERHOUSE 2XV,/assets/Peterhouse.png
ST GEORGE'S 2XV,/assets/StGeorges.png
ST GEORGE'S,/assets/StGeorges.png
ST JOHN'S 2XV,/assets/StJohns.png
PRINCE EDWARD'S 2XV,/assets/PrinceEdward.png
LOMAGUNDI 1XV,/assets/Lomagundi.png
LOMAGUNDI,/assets/Lomagundi.png
ST ALBANS 1XV,/assets/StAlbans.png
ST GEORGE'S 1XV,/assets/StGeorges.png
ST ANDREW'S 1XV,/assets/StAndrews.png
CBC 2XV,/assets/CBC.png
CBC,/assets/CBC.png
PRINCE EDWARD 1XV,/assets/PrinceEdward.png
CBC 1XV,/assets/CBC.png
FALCON 1XV,/assets/Falcon.png
FALCON,/assets/Falcon.png
CHURCHILL 1XV,/assets/Churchill.png
ST JOHN'S 1XV,/assets/StJohns.png
ST JOHN'S,/assets/StJohns.png
ZAM STEELERS,/assets/ZamSteelers.png
PETERHOUSE 1XV,/assets/Peterhouse.png
PETERHOUSE,/assets/Peterhouse.png
MILTON 2XV,/assets/Milton.png
WISE OWL 2XV,/assets/WiseOwl.png
PRINCE EDWARD 2XV,/assets/PrinceEdward.png
LORD BRIGHTON 2XV,/assets/LordBrighton.png
LORD BRIGHTON,/assets/LordBrighton.png
WISE OWL,/assets/WiseOwl.png
CHURCHILL,/assets/Churchill.png
ST JOHNS,/assets/StJohns.png
PRINCE EDWARD,/assets/PrinceEdward.png
KYLE,/assets/Kyle.png
ST GEORGES,/assets/StGeorges.png
ST GEORGES 4TH,/assets/StGeorges.png
GATEWAY,/assets/Gateway.png
HILLCREST,/assets/Hillcrest.png
HELLENIC,/assets/Hellenic.png
HERITAGE,/assets/Heritage.png
ALLAN WILSON,/assets/Allan Wilson.png
ALLAN WILSON 1ST,/assets/Allan Wilson.png
CRENBORNE,/assets/logo.png
MILTON,/assets/Milton.png
PH,/assets/Peterhouse.png
PH 7s,/assets/Peterhouse.png
ST IGNATIUS,/assets/St Ignatius.png
NATTIE COLLEGE,/assets/Nattie.png
GOROMONZI,/assets/Goromonzi.png
SAMUEL CENTENARY,/assets/logo.png
ST JOHNS HIGH,/assets/STJOHNSHIGH.png
KUTAMA,/assets/Kutama.png
MUTARE,/assets/Mutare Boys High.png
PETRA,/assets/logo.png
MIDLANDS CC,/assets/MidlandsCC.png
PLUMTREE,/assets/logo.png
MARONDERA HIGH,/assets/Marondera high.png
MARONDERA,/assets/Marondera high.png
GIFFORD,/assets/logo.png
ELLIS ROBINS,/assets/logo.png
ELIS ROBINS,/assets/logo.png
BMC,/assets/logo.png
TYNWALD,/assets/logo.png
VICTORIA HIGH,/assets/logo.png
MARIST,/assets/logo.png
ST JOSEPH,/assets/logo.png
ST AUGUSTINES,/assets/logo.png
MUTAMBARA,/assets/logo.png
FIRST CLASS,/assets/logo.png
TIER 2 URBAN,/assets/logo.png
TIER 2 CD,/assets/logo.png
ST CHARLES COLLEGE,/assets/SA logos/SA schools (Logo)/St Charles.png
CLIFTON SCHOOL,/assets/SA logos/SA schools (Logo)/Clifton.png
MICHAELHOUSE,/assets/SA logos/SA schools (Logo)/Michaelhouse.png
MICHEALHOUSE,/assets/SA logos/SA schools (Logo)/Michaelhouse.png
NORTHWOOD SCHOOL,/assets/SA logos/SA schools (Logo)/Northwood.png
KEARSNEY COLLEGE,/assets/SA logos/SA schools (Logo)/Kearsney College.png
DURBAN HIGH SCHOOL,/assets/SA logos/SA schools (Logo)/Durban High school.png
MARITZBURG COLLEGE,/assets/SA logos/SA schools (Logo)/Maritzburg.png
WESTVILLE BOYS' HIGH SCHOOL,/assets/SA logos/SA schools (Logo)/Westville Boy's High School.png
HILTON COLLEGE,/assets/SA logos/SA schools (Logo)/Hilton College.png
GLENWOOD HIGH SCHOOL,/assets/SA logos/SA schools (Logo)/Glenwood High School.png
AMANZIMTOTI HIGH SCHOOL,/assets/SA logos/SA schools (Logo)/Amanzimtoti High School.png
KING EDWARD HIGH SCHOOL,/assets/SA logos/SA schools (Logo)/King Edward.png
CURRO HILLCREST,/assets/SA logos/SA schools (Logo)/Curro Hillcrest.png
ASHTON COLLEGE BALLITO,/assets/SA logos/SA schools (Logo)/Ashton college.png
KINGSWAY HIGH SCHOOL,/assets/SA logos/SA schools (Logo)/Kingsway High school.png
HILLCREST HIGH SCHOOL,/assets/SA logos/SA schools (Logo)/Hillcrest high school.png
PORT SHEPSTONE HIGH SCHOOL,/assets/SA logos/SA schools (Logo)/Port Shepstone high school.png
IXOPO HIGH SCHOOL,/assets/SA logos/SA schools (Logo)/Ixopo.png
DUNDEE HIGH SCHOOL,/assets/SA logos/SA schools (Logo)/Dundee high school.png
GREYTOWN HIGH SCHOOL,/assets/SA logos/SA schools (Logo)/Greytown.png
SAREL CILLIERS HIGH SCHOOL,/assets/SA logos/SA schools (Logo)/Sarel Cilliers high school.png
NEWCASTLE HIGH SCHOOL,/assets/SA logos/SA schools (Logo)/Newcastle.png
VRYHEID HIGH SCHOOL,/assets/SA logos/SA schools (Logo)/Vryheid high school.png
VRYHEID LANDBOU SCHOOL,/assets/SA logos/SA schools (Logo)/VRYHEID LANDBOU SCHOOL.png
HOËRSKOOL RICHARDSBAAI,/assets/SA logos/SA schools (Logo)/Hoërskool Richardsbaai.png
WERDA SCHOOL,/assets/SA logos/SA schools (Logo)/Werda.png
PORT NATAL SCHOOL,/assets/SA logos/SA schools (Logo)/Port Natal.png
HOËRSKOOL PIONIER,/assets/SA logos/SA schools (Logo)/Hoërskool Pionier.png
EMPANGENI HIGH SCHOOL,/assets/SA logos/SA schools (Logo)/Empangeni.png
GRANTLEIGH,/assets/SA logos/SA schools (Logo)/Grantleigh.png
FELIXTON COLLEGE,/assets/SA logos/SA schools (Logo)/Felixton College.png
PONGOLA AKADEMIE,/assets/SA logos/SA schools (Logo)/PONGOLA AKADEMIE.png
LADYSMITH HIGH SCHOOL,/assets/SA logos/SA schools (Logo)/LADYSMITH HIGH SCHOOL.png
PRETORIA BOYS HIGH SCHOOL,/assets/SA logos/SA schools (Logo)/PRETORIA BOYS HIGH SCHOOL College.png
GREY HIGH SCHOOL,/assets/SA logos/Grey High School.png
MEYER SAUERMAN,/assets/logo.png
QUEEN'S COLLEGE,/assets/SA logos/QueensCollege.png
ST ANDREW'S,/assets/StAndrews.png
DANIEL PIENAAR,/assets/SA logos/Daniel Pienaar school.png
FRAMESBY,/assets/SA logos/framesby school.png
GREY COLLEGE,/assets/SA logos/Grey College.png
MUIR,/assets/SA logos/Muir College.png
SELBORNE,/assets/SA logos/Selborne College.png
GOLDRIDGE,/assets/Goldridge.png
EAGLESVALE,/assets/Eaglesvale.png

