id,start_time,end_time,duration,code,label_group,label_text,label_index
1,5655.0,5665.0,10.0,H 10,Kick,Good Kick,0
2,5658.0,5668.0,10.0,O 12,Outcome,Ball Caught,0
3,5661.0,5671.0,10.0,O 12,Ball Carry,Ball Carry Neutral,0
4,5661.0,5671.0,10.0,H 13,Tackle,Tackle Neutral,0
5,5664.0,5674.0,10.0,O 6,OOA,1st,0
5,5664.0,5674.0,10.0,O 6,Ruck Arrival,Ruck Arrival Effective,1
6,5665.0,5675.0,10.0,O 1,Ruck Arrival,Ruck Arrival Effective,0
6,5665.0,5675.0,10.0,O 1,OOA,2nd,1
7,5665.0,5675.0,10.0,O 3,Ruck Arrival,Ruck Arrival Ineffective,0
7,5665.0,5675.0,10.0,O 3,OOA,3rd,1
8,5666.0,5676.0,10.0,O 9,Pass,Pass Accurate,0
9,5667.0,5677.0,10.0,O 10,Kick,Good Kick,0
10,5670.0,5680.0,10.0,H 8,Outcome,Ball Caught,0
11,5673.0,5683.0,10.0,H 9,Pass,Pass Accurate,0
12,5677.0,5687.0,10.0,H 15,Ball Carry,Ball Carry Neutral,0
13,5677.0,5687.0,10.0,O 7,Tackle,Tackle Neutral,0
14,5678.0,5688.0,10.0,H 12,OOA,2nd,0
14,5678.0,5688.0,10.0,H 12,Ruck Arrival,Ruck Arrival Effective,1
15,5679.0,5689.0,10.0,H 6,OOA,1st,0
15,5679.0,5689.0,10.0,H 6,Ruck Arrival,Ruck Arrival Effective,1
16,5682.0,5692.0,10.0,H 9,Pass,Pass Accurate,0
17,5686.0,5696.0,10.0,O 5,Tackle,Tackle Neutral,0
18,5686.0,5696.0,10.0,H 4,Ball Carry,Ball Carry Neutral,0
19,5686.0,5696.0,10.0,H 2,OOA,1st,0
19,5686.0,5696.0,10.0,H 2,Ruck Arrival,Ruck Arrival Effective,1
20,5686.0,5696.0,10.0,O 2,Tackle,Tackle Neutral,0
21,5687.0,5697.0,10.0,H 3,OOA,2nd,0
21,5687.0,5697.0,10.0,H 3,Ruck Arrival,Ruck Arrival Ineffective,1
22,5688.0,5698.0,10.0,H 9,Pass,Pass Accurate,0
23,5690.0,5700.0,10.0,H 10,Pass,Pass Accurate,0
24,5690.0,5700.0,10.0,H 1,Pass,Pass Accurate,0
25,5695.0,5705.0,10.0,O 3,Tackle,Tackle Negative,0
26,5695.0,5705.0,10.0,O 7,Tackle,Tackle Negative,0
27,5695.0,5705.0,10.0,H 14,Ball Carry,Ball Carry Dominant,0
28,5696.0,5706.0,10.0,H 13,OOA,1st,0
28,5696.0,5706.0,10.0,H 13,Ruck Arrival,Ruck Arrival Effective,1
29,5696.0,5706.0,10.0,H 7,OOA,2nd,0
29,5696.0,5706.0,10.0,H 7,Ruck Arrival,Ruck Arrival Effective,1
30,5699.0,5709.0,10.0,H 9,Pass,Pass Accurate,0
31,5700.0,5710.0,10.0,H 10,Pass,Pass Accurate,0
32,5702.0,5712.0,10.0,O 6,Tackle,Missed Tackle,0
33,5705.0,5715.0,10.0,O 1,Tackle,Tackle Negative,0
34,5705.0,5715.0,10.0,H 3,Ball Carry,Ball Carry Dominant,0
35,5705.0,5715.0,10.0,O 8,Tackle,Tackle Negative,0
36,5707.0,5717.0,10.0,H 2,OOA,2nd,0
36,5707.0,5717.0,10.0,H 2,Ruck Arrival,Ruck Arrival Effective,1
37,5707.0,5717.0,10.0,H 1,OOA,1st,0
37,5707.0,5717.0,10.0,H 1,Ruck Arrival,Ruck Arrival Effective,1
38,5711.0,5721.0,10.0,H 9,Pass,Pass Accurate,0
39,5712.0,5722.0,10.0,H 10,Pass,Pass Accurate,0
40,5714.0,5724.0,10.0,H 12,Pass,Pass Accurate,0
41,5716.0,5726.0,10.0,H 15,Ball Carry,Ball Carry Neutral,0
42,5716.0,5726.0,10.0,O 12,Tackle,Tackle Neutral,0
43,5716.0,5726.0,10.0,O 13,Tackle,Tackle Neutral,0
44,5717.0,5727.0,10.0,H 12,Ruck Arrival,Ruck Arrival Effective,0
44,5717.0,5727.0,10.0,H 12,OOA,2nd,1
45,5717.0,5727.0,10.0,H 6,OOA,1st,0
45,5717.0,5727.0,10.0,H 6,Ruck Arrival,Ruck Arrival Ineffective,1
46,5717.0,5727.0,10.0,H 11,Ruck Arrival,Ruck Arrival Effective,0
46,5717.0,5727.0,10.0,H 11,OOA,3rd,1
47,5718.0,5728.0,10.0,H 8,Ruck Arrival,Ruck Arrival Ineffective,0
47,5718.0,5728.0,10.0,H 8,OOA,4th +,1
48,5722.0,5732.0,10.0,H 9,Pass,Pass Accurate,0
49,5723.0,5733.0,10.0,H 10,Pass,Pass Accurate,0
50,5725.0,5735.0,10.0,O 6,Tackle,Missed Tackle,0
51,5726.0,5736.0,10.0,H 2,Ball Carry,Ball Carry Neutral,0
52,5726.0,5736.0,10.0,O 2,Tackle,Tackle Neutral,0
53,5726.0,5736.0,10.0,O 8,Tackle,Tackle Neutral,0
54,5726.0,5736.0,10.0,O 8,Outcomes,Penalty Lost,0
