player_code,player_number,team,total_actions,passes_total,passes_accurate,pass_accuracy_pct,tackles_total,tackles_missed,tackle_success_pct,ball_carries_total,ball_carries_dominant,carry_dominance_pct,ruck_arrivals_total,ruck_arrivals_effective,ruck_efficiency_pct,kicks_total,kicks_good,kick_success_pct,errors
H 2,2,Falcon College,118,0,0,0.0,7,0,100.0,2,0,0.0,34,23,67.64705882352942,0,0,0.0,0
H 8,8,Falcon College,103,7,7,100.0,2,0,100.0,3,0,0.0,27,12,44.44444444444444,0,0,0.0,0
H 7,7,Falcon College,89,1,1,100.0,8,0,100.0,1,0,0.0,25,18,72.0,0,0,0.0,0
H 5,5,Falcon College,89,2,2,100.0,4,1,75.0,8,0,0.0,17,11,64.70588235294117,0,0,0.0,0
O 7,7,St John's,87,4,3,75.0,16,3,81.25,2,0,0.0,8,4,50.0,0,0,0.0,0
H 9,9,Falcon College,84,69,69,100.0,0,0,0.0,3,1,33.33333333333333,1,0,0.0,8,8,100.0,0
H 6,6,Falcon College,84,0,0,0.0,2,0,100.0,0,0,0.0,24,17,70.83333333333334,0,0,0.0,0
H 4,4,Falcon College,84,3,3,100.0,6,2,66.66666666666666,11,0,0.0,10,7,70.0,0,0,0.0,0
O 6,6,St John's,77,0,0,0.0,18,2,88.88888888888889,1,0,0.0,9,5,55.55555555555556,0,0,0.0,0
O 5,5,St John's,73,2,1,50.0,12,3,75.0,1,0,0.0,8,6,75.0,0,0,0.0,0
H 1,1,Falcon College,73,1,1,100.0,4,4,0.0,8,4,50.0,10,8,80.0,0,0,0.0,0
O 2,2,St John's,68,0,0,0.0,12,0,100.0,4,1,25.0,2,1,50.0,0,0,0.0,0
H 3,3,Falcon College,67,4,4,100.0,3,0,100.0,4,1,25.0,10,5,50.0,0,0,0.0,0
O 8,8,St John's,66,0,0,0.0,11,2,81.81818181818183,3,0,0.0,6,2,33.33333333333333,0,0,0.0,0
H 10,10,Falcon College,64,24,23,95.83333333333334,9,6,33.33333333333333,6,1,16.666666666666664,6,4,66.66666666666666,5,4,80.0,0
O 3,3,St John's,62,0,0,0.0,6,0,100.0,0,0,0.0,8,3,37.5,0,0,0.0,0
O 12,12,St John's,54,2,2,100.0,16,6,62.5,4,1,25.0,8,4,50.0,0,0,0.0,0
O 4,4,St John's,54,0,0,0.0,9,1,88.88888888888889,0,0,0.0,4,2,50.0,0,0,0.0,0
H 12,12,Falcon College,53,6,6,100.0,6,3,50.0,8,1,12.5,10,8,80.0,0,0,0.0,0
O 10,10,St John's,52,4,4,100.0,10,5,50.0,5,1,20.0,1,1,100.0,20,12,60.0,0
O 9,9,St John's,49,33,33,100.0,5,2,60.0,3,1,33.33333333333333,2,0,0.0,1,1,100.0,0
O 1,1,St John's,45,0,0,0.0,11,1,90.9090909090909,1,0,0.0,4,1,25.0,0,0,0.0,0
H 13,13,Falcon College,40,1,1,100.0,6,2,66.66666666666666,6,2,33.33333333333333,8,6,75.0,0,0,0.0,0
H 15,15,Falcon College,36,2,2,100.0,0,0,0.0,8,3,37.5,2,1,50.0,15,12,80.0,0
H 14,14,Falcon College,28,1,1,100.0,2,1,50.0,5,3,60.0,6,3,50.0,0,0,0.0,0
H 11,11,Falcon College,28,1,1,100.0,0,0,0.0,4,1,25.0,10,6,60.0,0,0,0.0,0
O 14,14,St John's,28,2,2,100.0,12,6,50.0,2,1,50.0,2,1,50.0,0,0,0.0,0
O 17,17,St John's,19,0,0,0.0,4,1,75.0,0,0,0.0,1,0,0.0,0,0,0.0,0
O 11,11,St John's,17,0,0,0.0,8,5,37.5,1,1,100.0,4,2,50.0,0,0,0.0,0
O 13,13,St John's,16,2,2,100.0,9,1,88.88888888888889,0,0,0.0,2,2,100.0,0,0,0.0,0
O 15,15,St John's,16,2,1,50.0,4,3,25.0,1,1,100.0,1,0,0.0,4,3,75.0,0
O 21,21,St John's,15,0,0,0.0,7,4,42.857142857142854,1,0,0.0,3,1,33.33333333333333,0,0,0.0,0
H 23,23,Falcon College,7,1,1,100.0,1,1,0.0,1,0,0.0,2,2,100.0,0,0,0.0,0
H 17,17,Falcon College,6,0,0,0.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,0
H 19,19,Falcon College,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0
O 22,22,St John's,4,0,0,0.0,4,1,75.0,0,0,0.0,0,0,0.0,0,0,0.0,0
