date,day,month,time,teamA,teamB,location,status
April 28th,Monday,,9:00,EAGLESVALE 2XV,WATERSHED 2XV,,
April 28th,Monday,,10:20,GOLDRIDGE 1XV,GATEWAY 1XV,,
April 28th,Monday,,11:40,WATERSHED 1XV,MIDLANDS CC 1XV,,
April 28th,Monday,,13:00,MILTON 1XV,WISE OWL 1XV,,
April 28th,Monday,,14:20,HILLCREST 1XV,EAGLESVALE 1XV,,
April 28th,Monday,,15:40,RYDINGS 1XV,HERITAGE 1XV,,
April 29th,Tuesday,,9:00,CHURCHILL 2XV,LOMAGUNDI 2XV,,cancelled
April 29th,Tuesday,,10:20,FALCON 2XV,ST ALBANS 2XV,,
April 29th,Tuesday,,11:40,PETERHOUSE 2XV,ST GEORGE'S 2XV,,
April 29th,Tuesday,,13:00,ST JOHN'S 2XV,PRINCE EDWARD'S 2XV,,
April 29th,Tuesday,,14:20,LOMAGUNDI 1XV,ST ALBANS 1XV,,
April 29th,Tuesday,,15:40,ST GEORGE'S 1XV,ST ANDREW'S 1XV,,
April 30th,Wednesday,,9:00,WISE OWL 2XV,LOMAGUNDI 2XV,,
April 30th,Wednesday,,10:20,WATERSHED 2XV,CBC 2XV,,
April 30th,Wednesday,,11:40,RYDINGS 1XV,MIDLANDS CC 1XV,,
April 30th,Wednesday,,13:00,GOLDRIDGE 1XV,HILLCREST 1XV,,
April 30th,Wednesday,,14:20,EAGLESVALE 1XV,HERITAGE 1XV,,
April 30th,Wednesday,,15:40,WATERSHED 1XV,GATEWAY 1XV,,
May 1st,Thursday,,8:00,ST GEORGE'S 2XV,ST ALBANS 2XV,,
May 1st,Thursday,,9:20,ST GEORGE'S 1XV,PRINCE EDWARD 1XV,,
May 1st,Thursday,,10:40,CBC 1XV,FALCON 1XV,,
May 1st,Thursday,,12:00,LOMAGUNDI 1XV,CHURCHILL 1XV,,
May 1st,Thursday,,13:20,PETERHOUSE 1XV,ST ANDREW'S 1XV,,
May 1st,Thursday,,14:40,ST JOHN'S 1XV,ST ALBANS 1XV,,
May 1st,Thursday,,16:00,ZAM STEELERS,SHARKS ACADEMY,,
May 2nd,Friday,,9:00,MILTON 2XV,WISE OWL 2XV,,
May 2nd,Friday,,10:20,EAGLESVALE 2XV,CBC 2XV,,
May 2nd,Friday,,11:40,MILTON 1XV,LOMAGUNDI 2XV,,
May 2nd,Friday,,13:00,PRINCE EDWARD 2XV,LORD BRIGHTON 2XV,,
May 2nd,Friday,,14:20,RYDINGS 1XV,WISE OWL 1XV,,
May 2nd,Friday,,15:40,PETERHOUSE 2XV,FALCON 2XV,,
May 3rd,Saturday,,9:00,ST JOHN'S 2XV,ST ALBANS 2XV,,
May 3rd,Saturday,,10:20,CBC 1XV,PETERHOUSE 1XV,,
May 3rd,Saturday,,11:40,PRINCE EDWARD 1XV,CHURCHILL 1XV,,
May 3rd,Saturday,,13:00,LOMAGUNDI 1XV,ST GEORGE'S 1XV,,
May 3rd,Saturday,,14:20,FALCON 1XV,ST ALBANS 1XV,,
May 3rd,Saturday,,15:40,ST JOHN'S 1XV,ST ANDREW'S 1XV,,

