date,day,month,time,teamA,teamB,location,status
May 16th,Friday,May,TBD,TIER 2 URBAN,TIER 2 CD,,
May 16th,Friday,May,TBD,ST CHARLES COLLEGE,CLIFTON SCHOOL,,
May 16th,Friday,May,TBD,MICHAELHOUSE,NORTHWOOD SCHOOL,,
May 16th,Friday,May,TBD,KEARSNEY COLLEGE,DURBAN HIGH SCHOOL,,
May 16th,Friday,May,TBD,MARITZBURG COLLEGE,WESTVILLE BOYS' HIGH SCHOOL,,
May 16th,Friday,May,TBD,HILTON COLLEGE,GLENWOOD HIGH SCHOOL,,
May 24th,Saturday,May,TBD,QUEEN'S COLLEGE,GREY HIGH SCHOOL,Away,
May 31st,Saturday,May,TBD,GREY HIGH SCHOOL,ST ANDREW'S,LOWER FIELD,
May 31st,Saturday,May,TBD,MARITZBURG COLLEGE,KEARSNEY COLLEGE,,
May 31st,Saturday,May,TBD,WESTVILLE BOYS' HIGH SCHOOL,GLENWOOD HIGH SCHOOL,,
May 31st,Saturday,May,TBD,PRETORIA BOYS HIGH SCHOOL,MICHEALHOUSE,,
May 31st,Saturday,May,TBD,DURBAN HIGH SCHOOL,HILTON COLLEGE,,
May 31st,Saturday,May,TBD,GREYTOWN HIGH SCHOOL,LADYSMITH HIGH SCHOOL,,
June 7th,Saturday,June,TBD,GREY HIGH SCHOOL,DANIEL PIENAAR,Home,
July 26th,Saturday,July,TBD,GREY HIGH SCHOOL,FRAMESBY,Home,
August 2nd,Saturday,August,TBD,GREY HIGH SCHOOL,GREY COLLEGE,Home,
August 9th,Saturday,August,TBD,MUIR,GREY HIGH SCHOOL,Away,
August 16th,Saturday,August,TBD,SELBORNE,GREY HIGH SCHOOL,Away,

