id,start_time,end_time,duration,code,label_group,label_text,label_index
1,911.0,925.0,14.0,O 10,Kick,Good Kick,0
2,915.0,929.0,14.0,H 13,Outcome,Ball Caught,0
3,917.0,931.0,14.0,O 6,Tackle,Tackle Neutral,0
4,917.0,931.0,14.0,O 12,Tackle,Tackle Neutral,0
5,918.0,932.0,14.0,H 6,OOA,1st,0
5,918.0,932.0,14.0,H 6,Ruck Arrival,Ruck Arrival Effective,1
6,919.0,933.0,14.0,H 10,OOA,2nd,0
6,919.0,933.0,14.0,H 10,Ruck Arrival,Ruck Arrival Effective,1
7,919.0,933.0,14.0,H 8,OOA,3rd,0
7,919.0,933.0,14.0,H 8,Ruck Arrival,Ruck Arrival Ineffective,1
8,920.0,934.0,14.0,H 1,OOA,4th +,0
8,920.0,934.0,14.0,H 1,Ruck Arrival,Ruck Arrival Ineffective,1
9,923.0,937.0,14.0,H 9,Pass,Pass Accurate,0
10,926.0,940.0,14.0,H 3,Ball Carry,Ball Carry Neutral,0
11,926.0,940.0,14.0,O 3,Tackle,Tackle Neutral,0
12,926.0,940.0,14.0,O 1,Tackle,Tackle Neutral,0
13,926.0,940.0,14.0,H 4,OOA,1st,0
13,926.0,940.0,14.0,H 4,Ruck Arrival,Ruck Arrival Effective,1
14,926.0,940.0,14.0,H 7,OOA,2nd,0
14,926.0,940.0,14.0,H 7,Ruck Arrival,Ruck Arrival Effective,1
15,931.0,945.0,14.0,H 9,Pass,Pass Accurate,0
16,932.0,946.0,14.0,H 6,Ball Carry,Ball Carry Neutral,0
17,932.0,946.0,14.0,O 1,Tackle,Tackle Neutral,0
18,933.0,947.0,14.0,H 8,OOA,1st,0
18,933.0,947.0,14.0,H 8,Ruck Arrival,Ruck Arrival Effective,1
19,934.0,948.0,14.0,H 1,OOA,2nd,0
19,934.0,948.0,14.0,H 1,Ruck Arrival,Ruck Arrival Ineffective,1
20,935.0,949.0,14.0,H 9,Pass,Pass Accurate,0
21,936.0,950.0,14.0,H 4,Pass,Pass Accurate,0
22,938.0,952.0,14.0,H 5,Ball Carry,Ball Carry Neutral,0
23,938.0,952.0,14.0,O 2,Tackle,Tackle Neutral,0
24,939.0,953.0,14.0,H 4,OOA,1st,0
24,939.0,953.0,14.0,H 4,Ruck Arrival,Ruck Arrival Effective,1
25,939.0,953.0,14.0,O 14,Tackle,Tackle Neutral,0
26,944.0,958.0,14.0,H 9,Pass,Pass Accurate,0
27,946.0,960.0,14.0,H 13,Kick,Good Kick,0
28,955.0,969.0,14.0,H 12,Tackle,Missed Tackle,0
29,956.0,970.0,14.0,O 10,Pass,Pass Accurate,0
30,958.0,972.0,14.0,H 14,Tackle,Missed Tackle,0
31,959.0,973.0,14.0,H 12,Tackle,Missed Tackle,0
32,961.0,975.0,14.0,H 14,Tackle,Tackle Negative,0
33,961.0,975.0,14.0,O 11,Ball Carry,Ball Carry Dominant,0
34,962.0,976.0,14.0,O 7,OOA,1st,0
34,962.0,976.0,14.0,O 7,Ruck Arrival,Ruck Arrival Dominant,1
35,963.0,977.0,14.0,O 99,OOA,2nd,0
35,963.0,977.0,14.0,O 99,Ruck Arrival,Ruck Arrival Effective,1
36,964.0,978.0,14.0,O 13,OOA,3rd,0
