player_code,player_number,team,total_actions,passes_total,passes_accurate,pass_accuracy_pct,tackles_total,tackles_missed,tackle_success_pct,ball_carries_total,ball_carries_dominant,carry_dominance_pct,ruck_arrivals_total,ruck_arrivals_effective,ruck_efficiency_pct,kicks_total,kicks_good,kick_success_pct,errors
O 6,6,St Georges,112,1,0,0.0,12,4,66.66666666666666,10,2,20.0,21,12,57.14285714285714,1,0,0.0,0
O 99,99,St Georges,111,2,2,100.0,10,1,90.0,6,0,0.0,27,14,51.85185185185185,0,0,0.0,0
O 2,2,St Georges,106,0,0,0.0,10,2,80.0,7,1,14.285714285714285,26,19,73.07692307692307,0,0,0.0,0
O 10,10,St Georges,99,14,14,100.0,8,3,62.5,4,2,50.0,21,14,66.66666666666666,22,21,95.45454545454545,0
O 8,8,St Georges,98,5,5,100.0,14,4,71.42857142857143,11,1,9.090909090909092,18,13,72.22222222222221,0,0,0.0,0
O 3,3,St Georges,92,1,1,100.0,9,2,77.77777777777779,6,1,16.666666666666664,17,8,47.05882352941176,0,0,0.0,0
O 1,1,St Georges,91,0,0,0.0,12,1,91.66666666666666,9,0,0.0,13,5,38.46153846153847,1,0,0.0,0
O 7,7,St Georges,89,0,0,0.0,5,0,100.0,2,0,0.0,26,16,61.53846153846154,0,0,0.0,0
H 2,2,1st XV Peterhouse,88,2,2,100.0,16,4,75.0,5,0,0.0,7,4,57.14285714285714,0,0,0.0,0
H 3,3,1st XV Peterhouse,86,1,1,100.0,15,4,73.33333333333333,11,1,9.090909090909092,10,8,80.0,0,0,0.0,0
H 6,6,1st XV Peterhouse,83,2,2,100.0,19,3,84.21052631578947,4,0,0.0,17,9,52.94117647058824,0,0,0.0,0
H 4,4,1st XV Peterhouse,82,1,1,100.0,15,2,86.66666666666667,4,0,0.0,13,8,61.53846153846154,0,0,0.0,0
H 8,8,1st XV Peterhouse,81,3,3,100.0,10,0,100.0,5,2,40.0,8,5,62.5,0,0,0.0,0
O 9,9,St Georges,76,58,58,100.0,4,3,25.0,1,0,0.0,2,1,50.0,5,5,100.0,0
H 7,7,1st XV Peterhouse,65,0,0,0.0,21,5,76.19047619047619,5,0,0.0,9,8,88.88888888888889,0,0,0.0,0
H 5,5,1st XV Peterhouse,65,5,5,100.0,7,2,71.42857142857143,4,2,50.0,5,5,100.0,0,0,0.0,0
H 9,9,1st XV Peterhouse,64,42,42,100.0,8,3,62.5,2,0,0.0,3,3,100.0,0,0,0.0,0
O 4,4,St Georges,59,0,0,0.0,7,1,85.71428571428571,6,0,0.0,17,8,47.05882352941176,0,0,0.0,0
H 1,1,1st XV Peterhouse,56,0,0,0.0,6,1,83.33333333333334,0,0,0.0,12,3,25.0,0,0,0.0,0
H 10,10,1st XV Peterhouse,52,13,13,100.0,7,2,71.42857142857143,2,1,50.0,8,7,87.5,13,13,100.0,0
O 13,13,St Georges,52,3,2,66.66666666666666,8,2,75.0,8,3,37.5,14,10,71.42857142857143,1,1,100.0,0
H 13,13,1st XV Peterhouse,49,11,10,90.9090909090909,9,1,88.88888888888889,1,1,100.0,6,5,83.33333333333334,8,8,100.0,0
H 12,12,1st XV Peterhouse,48,4,4,100.0,15,5,66.66666666666666,4,0,0.0,11,5,45.45454545454545,0,0,0.0,0
O 12,12,St Georges,46,4,4,100.0,4,2,50.0,13,0,0.0,9,6,66.66666666666666,2,1,50.0,0
H 17,17,1st XV Peterhouse,41,0,0,0.0,8,3,62.5,3,0,0.0,9,3,33.33333333333333,0,0,0.0,0
H 15,15,1st XV Peterhouse,29,3,3,100.0,5,2,60.0,2,0,0.0,4,2,50.0,5,3,60.0,0
H 14,14,1st XV Peterhouse,28,0,0,0.0,16,1,93.75,3,1,33.33333333333333,2,2,100.0,0,0,0.0,0
O 20,20,St Georges,24,0,0,0.0,4,2,50.0,2,0,0.0,5,3,60.0,0,0,0.0,0
O 21,21,St Georges,24,14,13,92.85714285714286,1,0,100.0,2,0,0.0,2,1,50.0,0,0,0.0,0
O 15,15,St Georges,22,1,1,100.0,1,0,100.0,4,3,75.0,4,3,75.0,1,0,0.0,0
O 14,14,St Georges,15,0,0,0.0,4,1,75.0,3,1,33.33333333333333,4,2,50.0,0,0,0.0,0
H 11,11,1st XV Peterhouse,15,1,1,100.0,2,1,50.0,2,1,50.0,1,1,100.0,0,0,0.0,0
O 5,5,St Georges,14,0,0,0.0,3,0,100.0,0,0,0.0,2,2,100.0,0,0,0.0,0
H 23,23,1st XV Peterhouse,12,0,0,0.0,4,2,50.0,2,1,50.0,1,1,100.0,0,0,0.0,0
O 11,11,St Georges,9,0,0,0.0,1,1,0.0,3,2,66.66666666666666,2,0,0.0,0,0,0.0,0
O 23,23,St Georges,9,0,0,0.0,1,0,100.0,0,0,0.0,4,2,50.0,0,0,0.0,0
O 16,16,St Georges,7,0,0,0.0,2,0,100.0,1,0,0.0,2,2,100.0,0,0,0.0,0
